ds,y
2024-03-01,112
2024-03-02,118
2024-03-03,132
2024-03-04,129
2024-03-05,121
2024-03-06,135
2024-03-07,148
2024-03-08,148
2024-03-09,136
2024-03-10,119
2024-03-11,104
2024-03-12,118
2024-03-13,115
2024-03-14,126
2024-03-15,141
2024-03-16,135
2024-03-17,125
2024-03-18,149
2024-03-19,170
2024-03-20,170
2024-03-21,158
2024-03-22,133
2024-03-23,114
2024-03-24,140
2024-03-25,145
2024-03-26,150
2024-03-27,178
2024-03-28,163
2024-03-29,172
2024-03-30,178
2024-03-31,199
2024-04-01,199
2024-04-02,184
2024-04-03,162
2024-04-04,146
2024-04-05,166
2024-04-06,171
2024-04-07,180
2024-04-08,193
2024-04-09,181
2024-04-10,183
2024-04-11,218
2024-04-12,230
2024-04-13,242
2024-04-14,209
2024-04-15,191
2024-04-16,172
2024-04-17,194
2024-04-18,196
2024-04-19,196
2024-04-20,236
2024-04-21,235
2024-04-22,229
2024-04-23,243
2024-04-24,264
2024-04-25,272
2024-04-26,237
2024-04-27,211
2024-04-28,180
2024-04-29,201
2024-04-30,204
2024-05-01,188
2024-05-02,235
2024-05-03,227
2024-05-04,234
2024-05-05,264
2024-05-06,302
2024-05-07,293
2024-05-08,259
2024-05-09,229
2024-05-10,203
2024-05-11,229
2024-05-12,242
2024-05-13,233
2024-05-14,267
2024-05-15,269
2024-05-16,270
2024-05-17,315
2024-05-18,364
2024-05-19,347
2024-05-20,312
2024-05-21,274
2024-05-22,237
2024-05-23,278
2024-05-24,284
2024-05-25,277
2024-05-26,317
2024-05-27,313
2024-05-28,318
2024-05-29,374
2024-05-30,413
2024-05-31,405
2024-06-01,355
2024-06-02,306
2024-06-03,271
2024-06-04,306
2024-06-05,315
2024-06-06,301
2024-06-07,356
2024-06-08,348
2024-06-09,355
2024-06-10,410
2024-06-11,435
2024-06-12,451
2024-06-13,404
2024-06-14,347
2024-06-15,305
2024-06-16,336
2024-06-17,340
2024-06-18,318
2024-06-19,362
2024-06-20,348
2024-06-21,363
2024-06-22,435
2024-06-23,460
2024-06-24,480
2024-06-25,404
2024-06-26,359
2024-06-27,310
2024-06-28,337
2024-06-29,360
2024-06-30,342
2024-07-01,406
2024-07-02,396
2024-07-03,420
2024-07-04,472
2024-07-05,525
2024-07-06,532
2024-07-07,463
2024-07-08,407
2024-07-09,362
2024-07-10,405
2024-07-11,417
2024-07-12,391
2024-07-13,419
2024-07-14,461
2024-07-15,472
2024-07-16,520
2024-07-17,563
2024-07-18,532
2024-07-19,508
2024-07-20,461
2024-07-21,390
2024-07-22,432
