Month,RequestCount
2012-01,112
2012-02,118
2012-03,132
2012-04,129
2012-05,121
2012-06,135
2012-07,148
2012-08,148
2012-09,136
2012-10,119
2012-11,104
2012-12,118
2013-01,115
2013-02,126
2013-03,141
2013-04,135
2013-05,125
2013-06,149
2013-07,170
2013-08,170
2013-09,158
2013-10,133
2013-11,114
2013-12,145
2014-01,150
2014-02,178
2014-03,163
2014-04,172
2014-05,178
2014-06,199
2014-07,199
2014-08,184
2014-09,162
2014-10,146
2014-11,166
2014-12,171
2015-01,180
2015-02,193
2015-03,181
2015-04,183
2015-05,218
2015-06,230
2015-07,242
2015-08,209
2015-09,191
2015-10,172
2015-11,194
2015-12,196
2016-01,196
2016-02,236
2016-03,235
2016-04,229
2016-05,243
2016-06,264
2016-07,272
2016-08,237
2016-09,211
2016-10,180
2016-11,201
2016-12,204
2017-01,188
2017-02,235
2017-03,227
2017-04,234
2017-05,264
2017-06,302
2017-07,293
2017-08,259
2017-09,229
2017-10,203
2017-11,229
2017-12,242
2018-01,233
2018-02,267
2018-03,269
2018-04,270
2018-05,315
2018-06,364
2018-07,347
2018-08,312
2018-09,274
2018-10,237
2018-11,278
2018-12,284
2019-01,277
2019-02,317
2019-03,313
2019-04,318
2019-05,374
2019-06,413
2019-07,405
2019-08,355
2019-09,306
2019-10,271
2019-11,306
2019-12,315
2020-01,301
2020-02,356
2020-03,348
2020-04,355
2020-05,410
2020-06,435
2020-07,451
2020-08,404
2020-09,347
2020-10,305
2020-11,336
2020-12,340
2021-01,318
2021-02,362
2021-03,348
2021-04,363
2021-05,435
2021-06,460
2021-07,480
2021-08,404
2021-09,359
2021-10,310
2021-11,337
2021-12,360
2022-01,342
2022-02,406
2022-03,396
2022-04,420
2022-05,472
2022-06,487
2022-07,502
2022-08,463
2022-09,407
2022-10,362
2022-11,405
2022-12,417
2023-01,391
2023-02,419
2023-03,461
2023-04,472
2023-05,520
2023-06,539
2023-07,532
2023-08,508
2023-09,461
2023-10,390
2023-11,432
